timestamp,frame,point_index,angle_deg,distance_mm,valid
2026-05-13T07:54:48.313418+00:00,2,18,94.775,301.000,1
2026-05-13T07:54:48.313418+00:00,2,19,95.355,300.000,1
2026-05-13T07:54:48.313418+00:00,2,20,95.908,301.000,1
2026-05-13T07:54:48.313418+00:00,2,21,96.488,300.000,1
2026-05-13T07:54:48.313418+00:00,2,22,97.068,299.000,1
2026-05-13T07:54:48.313418+00:00,2,23,97.648,298.000,1
2026-05-13T07:54:48.313418+00:00,2,24,98.214,298.000,1
2026-05-13T07:54:48.313418+00:00,2,25,98.795,297.000,1
2026-05-13T07:54:48.313418+00:00,2,26,99.361,297.000,1
2026-05-13T07:54:48.313418+00:00,2,27,99.913,298.000,1
2026-05-13T07:54:48.313418+00:00,2,28,100.508,296.000,1
2026-05-13T07:54:48.313418+00:00,2,29,101.046,298.000,1
2026-05-13T07:54:48.313418+00:00,2,30,101.571,301.000,1
2026-05-13T07:54:48.313418+00:00,2,31,102.043,308.000,1
2026-05-13T07:54:48.313418+00:00,2,32,102.507,316.000,1
2026-05-13T07:54:48.313418+00:00,2,33,103.036,319.000,1
2026-05-13T07:54:48.313418+00:00,2,34,103.567,322.000,1
2026-05-13T07:54:48.313418+00:00,2,35,104.121,323.000,1
2026-05-13T07:54:48.313418+00:00,2,36,104.663,325.000,1
2026-05-13T07:54:48.313418+00:00,2,37,105.218,326.000,1
